"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"682","Chains","138,295 ±11,511","147,809 ±12,086","9,514","6.88%","$4.99","80% ($0.99)","75% (N/A)"
"822","Silent Storm","88,940 ±9,232","98,453 ±9,865","9,513","10.7%","$9.99","75% ($2.49)","91% (83%)"
"468","Camera Obscura","302,647 ±17,024","312,156 ±17,560","9,509","3.14%","$1.99","75% ($0.49)","72% (N/A)"
"1030","Bejeweled 2 Deluxe","47,601 ±6,754","57,108 ±7,514","9,507","19.97%","$4.99","75% ($1.24)","96% (N/A)"
"858","NotGTAV","79,419 ±8,724","88,892 ±9,374","9,473","11.93%","$2.99","75% ($0.74)","88% (N/A)"
"1133","Gremlins, Inc.","29,813 ±5,345","39,278 ±6,231","9,465","31.75%","$14.99","30% ($10.49)","85% (74%)"
"800","ShipLord","94,953 ±9,539","104,396 ±10,158","9,443","9.94%","$2.99","51% ($0.49)","50% (N/A)"
"1040","KHOLAT","45,347 ±6,592","54,782 ±7,359","9,435","20.81%","$19.99","60% ($7.99)","75% (64%)"
"535","Men of War: Red Tide","233,750 ±14,963","243,161 ±15,500","9,411","4.03%","$4.99","75% ($1.24)","79% (77%)"
"394","Waveform","406,369 ±19,724","415,778 ±20,263","9,409","2.32%","$1.99","75% ($0.49)","83% (81%)"
"960","PERFECT ANGLE: The puzzle game based on optical illusions","60,880 ±7,638","70,286 ±8,335","9,406","15.45%","$6.99","30% ($4.89)","43% (N/A)"
"695","Fiends of Imprisonment","134,788 ±11,364","144,191 ±11,938","9,403","6.98%","$1.99","75% ($0.49)","44% (N/A)"
"917","Sherlock Holmes: The Secret of the Silver Earring","68,897 ±8,126","78,297 ±8,798","9,400","13.64%","$9.99","75% ($2.49)","69% (68%)"
"1264","White Mirror","10,773 ±3,213","20,155 ±4,464","9,382","87.09%","$1.99","70% ($0.59)","39% (N/A)"
"1267","Angry Video Game Nerd","10,773 ±3,213","20,155 ±4,464","9,382","87.09%","$2.99","% ($0)","81% (N/A)"
"1053","Alien Spidy","43,092 ±6,426","52,456 ±7,201","9,364","21.73%","$9.99","0% ($9.99)","61% (N/A)"
"871","Miner Wars 2081","75,912 ±8,529","85,274 ±9,181","9,362","12.33%","$9.99","70% ($2.99)","34% (52%)"
"1150","Danganronpa 2: Goodbye Despair","25,805 ±4,973","35,143 ±5,894","9,338","36.19%","$29.99","20% ($23.99)","97% (84%)"
"703","MASSIVE CHALICE","132,533 ±11,269","141,866 ±11,841","9,333","7.04%","$19.99","80% ($3.99)","71% (73%)"
"980","Gaokao.Love.100Days","58,124 ±7,463","67,444 ±8,165","9,320","16.03%","$9.99","20% ($7.99)","95% (N/A)"
"70","Grand Theft Auto: Episodes from Liberty City","2,622,862 ±49,934","2,632,144 ±50,806","9,282","0.35%","$19.99","75% ($4.99)","75% (N/A)"
"684","STAR WARS: X-Wing vs. TIE Fighter","138,546 ±11,521","147,809 ±12,086","9,263","6.69%","$9.99","50% ($4.99)","72% (N/A)"
"1309","The Decimation of Olarath","6,764 ±2,546","16,021 ±3,980","9,257","136.86%","$0.99","40% ($0.59)","23% (N/A)"
"713","Eastside Hockey Manager: Early Access","129,777 ±11,151","139,023 ±11,722","9,246","7.12%","$19.99","66% ($6.79)","87% (N/A)"
"859","Blackwell Deception","79,670 ±8,738","88,892 ±9,374","9,222","11.58%","$9.99","70% ($2.99)","96% (73%)"
"861","12 Labours of Hercules III: Girl Power","79,419 ±8,724","88,633 ±9,360","9,214","11.6%","$2.99","83% ($0.5)","87% (N/A)"
"912","Sherlock Holmes: The Mystery of The Persian Carpet","69,899 ±8,184","79,072 ±8,841","9,173","13.12%","$9.99","75% ($2.49)","37% (N/A)"
"525","Heroes of Might & Magic V: Tribes of the East","242,518 ±15,241","251,689 ±15,769","9,171","3.78%","$9.99","50% ($4.99)","91% (70%)"
"1008","Desperados 2: Cooper's Revenge","52,612 ±7,101","61,759 ±7,814","9,147","17.39%","$9.99","75% ($2.49)","45% (66%)"
"1263","VERGE:Lost chapter","11,274 ±3,287","20,414 ±4,492","9,140","81.07%","$1.99","75% ($0.49)","47% (N/A)"
"265","Fallout 3","710,019 ±26,059","719,149 ±26,637","9,130","1.29%","$9.99","50% ($4.99)","81% (91%)"
"1207","Stargazer","18,539 ±4,215","27,649 ±5,228","9,110","49.14%","$4.99","90% ($0.49)","76% (N/A)"
"649","Medal of Honor: Airborne","158,088 ±12,307","167,190 ±12,854","9,102","5.76%","$9.99","75% ($2.49)","79% (78%)"
"196","Overlord II","946,776 ±30,081","955,851 ±30,697","9,075","0.96%","$9.99","75% ($2.49)","87% (79%)"
"926","Kung Fury: Street Rage","66,642 ±7,991","75,713 ±8,651","9,071","13.61%","$2.99","50% ($1.49)","91% (N/A)"
"1071","RPG Maker MV","41,338 ±6,294","50,389 ±7,058","9,051","21.9%","$79.99","45% ($43.99)","86% (N/A)"
"1363","Ara Fell","0 ±0","9,044 ±2,990","9,044","0%","$9.99","25% ($7.49)","89% (N/A)"
"605","Two Worlds II Castle Defense","180,636 ±13,155","189,671 ±13,691","9,035","5%","$9.99","0% ($9.99)","43% (N/A)"
"1077","Gray Matter","40,837 ±6,256","49,872 ±7,022","9,035","22.12%","$9.99","75% ($2.49)","91% (72%)"
"1167","Urizen Shadows of the Cold","24,302 ±4,826","33,334 ±5,741","9,032","37.17%","$1.99","75% ($0.99)","20% (N/A)"
"123","Warhammer 40,000: Dawn of War - Game of the Year Edition","1,529,272 ±38,195","1,538,303 ±38,907","9,031","0.59%","$12.99","75% ($3.24)","93% (86%)"
"708","Heaven Island Life","131,030 ±11,205","140,057 ±11,765","9,027","6.89%","$0.99","51% ($0.49)","5% (N/A)"
"148","Star Wars: Empire at War Gold","1,305,543 ±35,303","1,314,521 ±35,979","8,978","0.69%","$19.99","0% ($19.99)","93% (N/A)"
"655","SpellForce: Platinum Edition","153,578 ±12,130","162,538 ±12,674","8,960","5.83%","$9.99","75% ($2.49)","86% (74%)"
"409","Worms Pinball","383,821 ±19,170","392,780 ±19,695","8,959","2.33%","$7.99","85% ($1.19)","42% (N/A)"
"952","SUPERFIGHT","62,634 ±7,747","71,579 ±8,412","8,945","14.28%","$9.99","% ($0)","73% (N/A)"
"271","Tomb Raider III: Adventures of Lara Croft","695,738 ±25,796","704,678 ±26,368","8,940","1.28%","$6.99","75% ($1.74)","86% (N/A)"
"1187","Pajama Sam 3: You Are What You Eat From Your Head To Your Feet","20,543 ±4,437","29,458 ±5,397","8,915","43.4%","$6.99","60% ($2.79)","100% (N/A)"
"1143","Obscure","28,310 ±5,209","37,210 ±6,065","8,900","31.44%","$6.99","0% ($6.99)","92% (63%)"
"1098","Mr. Robot","36,327 ±5,900","45,221 ±6,686","8,894","24.48%","$9.99","75% ($2.49)","79% (83%)"
"1010","Time Mysteries 2: The Ancient Spectres","52,362 ±7,084","61,242 ±7,781","8,880","16.96%","$9.99","70% ($2.99)","66% (N/A)"
"1063","Homefront: The Revolution","42,841 ±6,408","51,681 ±7,148","8,840","20.63%","$39.99","25% ($44.99)","46% (54%)"
"554","Carrier Command: Gaea Mission","215,210 ±14,358","224,039 ±14,879","8,829","4.1%","$32.99","80% ($6.59)","44% (N/A)"
"562","Call of Juarez: Bound in Blood","206,942 ±14,080","215,770 ±14,602","8,828","4.27%","$9.99","50% ($4.99)","84% (78%)"
"162","Just Cause","1,177,269 ±33,531","1,186,092 ±34,183","8,823","0.75%","$6.99","75% ($1.74)","67% (75%)"
"983","Turmoil","58,374 ±7,479","67,186 ±8,150","8,812","15.1%","$9.99","20% ($7.99)","89% (N/A)"
"929","Judge Dredd: Dredd vs Death","66,392 ±7,976","75,196 ±8,622","8,804","13.26%","$7.99","75% ($1.99)","87% (55%)"
"1022","OlliOlli2: Welcome to Olliwood","49,856 ±6,912","58,658 ±7,615","8,802","17.65%","$14.99","75% ($4.99)","88% (82%)"
"1231","Cloudberry Kingdom","15,783 ±3,889","24,548 ±4,926","8,765","55.53%","$9.99","50% ($4.99)","92% (67%)"
"405","Monkey Island 2: Special Edition","385,825 ±19,219","394,589 ±19,741","8,764","2.27%","$9.99","75% ($2.49)","96% (87%)"
"384","Prototype","426,412 ±20,204","435,159 ±20,729","8,747","2.05%","$19.99","75% ($4.99)","N/A (79%)"
"1243","Dungeonmans","15,032 ±3,795","23,773 ±4,848","8,741","58.15%","$14.99","50% ($7.49)","91% (N/A)"
"1175","Gloria Victis","23,049 ±4,700","31,784 ±5,605","8,735","37.9%","$19.99","10% ($17.99)","63% (N/A)"
"520","Endorlight","252,790 ±15,560","261,508 ±16,074","8,718","3.45%","$2.99","83% ($0.5)","59% (N/A)"
"1252","Tiny Thief","14,030 ±3,667","22,739 ±4,741","8,709","62.07%","$5.99","0% ($5.99)","N/A (N/A)"
"826","Folk Tale","87,687 ±9,167","96,386 ±9,761","8,699","9.92%","$19.99","25% ($18.74)","70% (N/A)"
"911","The Silent Age","70,651 ±8,228","79,331 ±8,855","8,680","12.29%","$9.99","75% ($2.49)","94% (N/A)"
"552","Call of Duty: Black Ops III - Awakening DLC Pack","217,465 ±14,433","226,107 ±14,947","8,642","3.97%","$14.99","0% ($14.99)","N/A (N/A)"
"432","Retro City Rampage DX","357,013 ±18,489","365,647 ±19,004","8,634","2.42%","$9.99","50% ($4.99)","90% (N/A)"
"810","The First Templar","93,449 ±9,463","102,071 ±10,044","8,622","9.23%","$9.99","0% ($9.99)","71% (57%)"
"923","YOU DON'T KNOW JACK Vol. 1 XL","68,396 ±8,096","77,005 ±8,725","8,609","12.59%","$2.99","50% ($1.49)","73% (N/A)"
"875","Naval Action","75,912 ±8,529","84,499 ±9,139","8,587","11.31%","$39.99","25% ($29.99)","75% (N/A)"
"1284","Scribble Space","10,021 ±3,099","18,605 ±4,289","8,584","85.66%","$1.99","50% ($0.99)","59% (N/A)"
"677","Human Resource Machine","141,302 ±11,635","149,876 ±12,171","8,574","6.07%","$9.99","25% ($7.49)","94% (78%)"
"817","How To Survive Third Person","91,445 ±9,361","100,003 ±9,942","8,558","9.36%","$9.99","90% ($0.99)","56% (N/A)"
"1297","The Purring Quest","9,019 ±2,940","17,571 ±4,168","8,552","94.82%","$9.99","70% ($2.99)","85% (N/A)"
"347","Polarity","485,288 ±21,552","493,817 ±22,080","8,529","1.76%","$14.99","90% ($0.99)","82% (N/A)"
"1364","BloodGate","0 ±0","8,527 ±2,903","8,527","0%","$8.99","90% ($0.89)","87% (N/A)"
"1365","Defenders of the Last Colony","0 ±0","8,527 ±2,903","8,527","0%","$9.99","50% ($4.99)","66% (N/A)"
"1084","Zombie Bowl-O-Rama","40,837 ±6,256","49,355 ±6,985","8,518","20.86%","$9.99","50% ($4.99)","85% (N/A)"
"362","McPixel","459,984 ±20,983","468,493 ±21,507","8,509","1.85%","$4.99","80% ($0.99)","83% (76%)"
"725","STAR WARS: TIE Fighter Special Edition","122,512 ±10,834","131,012 ±11,379","8,500","6.94%","$9.99","50% ($4.99)","67% (N/A)"
"1132","BlazBlue: Chronophantasma Extend","31,066 ±5,456","39,536 ±6,252","8,470","27.26%","$29.99","33% ($20.09)","95% (N/A)"
"951","Elven Legacy","63,135 ±7,778","71,579 ±8,412","8,444","13.37%","$4.99","75% ($1.24)","70% (71%)"
"431","LEGO - The Hobbit","359,018 ±18,541","367,456 ±19,051","8,438","2.35%","$19.99","75% ($4.99)","80% (N/A)"
"953","YOU DON'T KNOW JACK Vol. 3","62,884 ±7,763","71,320 ±8,397","8,436","13.42%","$2.99","50% ($1.49)","87% (N/A)"
"88","Orcs Must Die! 2","2,216,994 ±45,938","2,225,410 ±46,746","8,416","0.38%","$24.99","75% ($3.74)","96% (83%)"
"1261","Hero Defense - Haunted Island","12,276 ±3,430","20,672 ±4,521","8,396","68.39%","$14.99","70% ($4.49)","74% (N/A)"
"1050","The Last Door - Collector's Edition","44,845 ±6,556","53,232 ±7,254","8,387","18.7%","$9.99","80% ($1.99)","95% (79%)"
"188","To the Moon","990,619 ±30,767","999,005 ±31,381","8,386","0.85%","$9.99","80% ($1.99)","97% (81%)"
"867","Boson X","77,666 ±8,627","86,049 ±9,223","8,383","10.79%","$2.99","0% ($2.99)","92% (N/A)"
"402","Arma: Gold Edition","389,834 ±19,319","398,206 ±19,831","8,372","2.15%","$9.99","80% ($1.99)","71% (N/A)"
"328","Viscera Cleanup Detail: Santa's Rampage","529,382 ±22,508","537,747 ±23,040","8,365","1.58%","$2.49","50% ($1.24)","91% (N/A)"
"721","Larva Mortus","126,270 ±10,999","134,630 ±11,535","8,360","6.62%","$4.99","80% ($0.99)","77% (64%)"
"1274","Fire","11,023 ±3,250","19,380 ±4,377","8,357","75.81%","$9.99","75% ($2.49)","88% (64%)"
"702","Zombie Zoid","133,535 ±11,311","141,866 ±11,841","8,331","6.24%","$3.99","87% ($0.51)","25% (N/A)"
"1288","Vampire Legends: The True Story of Kisilova","10,021 ±3,099","18,346 ±4,259","8,325","83.08%","$9.99","50% ($4.99)","86% (N/A)"
"594","Space Run","190,657 ±13,515","198,974 ±14,022","8,317","4.36%","$14.99","75% ($3.74)","87% (73%)"
"1301","My Bones","9,019 ±2,940","17,313 ±4,137","8,294","91.96%","$1.99","75% ($0.49)","51% (N/A)"
"746","Ace of Words","115,747 ±10,531","124,035 ±11,072","8,288","7.16%","$4.99","40% ($2.99)","53% (N/A)"
"126","Mark of the Ninja","1,496,953 ±37,791","1,505,226 ±38,489","8,273","0.55%","$14.99","75% ($3.74)","97% (91%)"
"341","Red Faction","501,573 ±21,910","509,839 ±22,435","8,266","1.65%","$9.99","75% ($2.49)","91% (78%)"
"988","Dreaming Sarah","57,372 ±7,415","65,635 ±8,055","8,263","14.4%","$5.99","90% ($0.59)","91% (N/A)"
"852","iBomber Defense","81,674 ±8,847","89,926 ±9,428","8,252","10.1%","$4.99","0% ($4.99)","77% (N/A)"
"1089","The Isle","40,085 ±6,198","48,322 ±6,912","8,237","20.55%","$19.99","33% ($13.39)","70% (N/A)"
"509","Lead and Gold - Gangs of the Wild West","261,810 ±15,835","270,036 ±16,334","8,226","3.14%","$9.99","65% ($3.49)","73% (70%)"
"906","Foreign Legion: Multi Massacre","71,903 ±8,301","80,106 ±8,899","8,203","11.41%","$6.99","70% ($2.09)","66% (N/A)"
"1254","Cobalt","14,280 ±3,699","22,481 ±4,714","8,201","57.43%","$19.99","65% ($6.99)","85% (69%)"
"734","F1 2014","119,004 ±10,678","127,136 ±11,210","8,132","6.83%","$29.99","66% ($10.19)","75% (61%)"
"1273","Summer Sale","11,274 ±3,287","19,380 ±4,377","8,106","71.9%","$0.99","51% ($0.49)","54% (N/A)"
"612","Minecraft: Story Mode - A Telltale Games Series","175,625 ±12,971","183,728 ±13,475","8,103","4.61%","$24.99","50% ($12.49)","76% (N/A)"
"1209","Freddi Fish 3: The Case of the Stolen Conch Shell","19,291 ±4,300","27,391 ±5,204","8,100","41.99%","$6.99","60% ($2.79)","93% (N/A)"
"493","FaceRig","273,835 ±16,194","281,923 ±16,689","8,088","2.95%","$14.99","50% ($7.49)","84% (N/A)"
"472","UFO: Afterlight","298,388 ±16,904","306,471 ±17,400","8,083","2.71%","$6.99","80% ($1.39)","59% (71%)"
"927","Agarest Zero","67,644 ±8,051","75,713 ±8,651","8,069","11.93%","$19.99","60% ($7.99)","77% (N/A)"
"1160","Parkitect","26,055 ±4,997","34,109 ±5,807","8,054","30.91%","$17.99","0% ($17.99)","89% (N/A)"
"1300","SteamWorld Heist","9,269 ±2,980","17,313 ±4,137","8,044","86.78%","$19.99","25% ($14.99)","98% (81%)"
"1072","Amnesiaâ„¢: Memories","42,090 ±6,351","50,131 ±7,040","8,041","19.1%","$29.99","90% ($2.99)","96% (N/A)"
"539","Crystals of Time","230,994 ±14,875","239,027 ±15,368","8,033","3.48%","$1.99","90% ($0.49)","50% (N/A)"
"820","Overgrowth","90,944 ±9,335","98,970 ±9,891","8,026","8.83%","$29.99","15% ($25.49)","76% (N/A)"
"283","Poker Night 2","657,156 ±25,072","665,142 ±25,619","7,986","1.22%","$4.99","75% ($1.24)","84% (75%)"
"944","Shelter 2","64,638 ±7,870","72,612 ±8,472","7,974","12.34%","$14.99","70% ($4.49)","87% (58%)"
"1246","Energy Cycle","15,282 ±3,827","23,256 ±4,795","7,974","52.18%","$0.99","30% ($0.69)","80% (N/A)"
"946","Etherlords","64,137 ±7,840","72,095 ±8,442","7,958","12.41%","$4.99","60% ($1.99)","40% (77%)"
"627","Anomaly Korea","170,865 ±12,794","178,818 ±13,293","7,953","4.65%","$4.99","80% ($0.99)","81% (N/A)"
"754","Fortix","113,242 ±10,417","121,193 ±10,945","7,951","7.02%","$0.99","0% ($0.99)","92% (N/A)"
"441","Gothic II: Gold Edition","342,482 ±18,109","350,401 ±18,604","7,919","2.31%","$9.99","80% ($1.99)","82% (79%)"
"1190","Koi-Koi Japan [Hanafuda playing cards]","21,546 ±4,544","29,458 ±5,397","7,912","36.72%","$9.99","80% ($1.99)","91% (N/A)"
"957","Russian Horror Story","62,634 ±7,747","70,545 ±8,351","7,911","12.63%","$7.99","80% ($1.59)","59% (N/A)"
"958","Glass Wing","62,634 ±7,747","70,545 ±8,351","7,911","12.63%","$5.99","70% ($1.79)","66% (N/A)"
"959","YOU DON'T KNOW JACK Vol. 2","62,383 ±7,732","70,286 ±8,335","7,903","12.67%","$2.99","50% ($1.49)","73% (N/A)"
"93","Starbound","2,126,049 ±44,992","2,133,933 ±45,782","7,884","0.37%","$14.99","0% ($14.99)","89% (81%)"
"962","YOU DON'T KNOW JACK HEADRUSH","61,631 ±7,685","69,511 ±8,289","7,880","12.79%","$2.99","50% ($1.49)","80% (N/A)"
"1342","Shadwen","4,008 ±1,960","11,886 ±3,428","7,878","196.56%","$16.99","33% ($11.38)","73% (N/A)"
"321","BEEP","554,937 ±23,044","562,812 ±23,570","7,875","1.42%","$1.99","90% ($0.49)","86% (N/A)"
"1272","Perfect Golf","11,775 ±3,359","19,639 ±4,406","7,864","66.79%","$34.99","0% ($34.99)","66% (N/A)"
"739","Giana Sisters: Twisted Dreams - Rise of the Owlverlord","118,253 ±10,645","126,103 ±11,164","7,850","6.64%","$4.99","80% ($0.99)","85% (84%)"
"840","Thirty Flights of Loving","84,681 ±9,008","92,510 ±9,563","7,829","9.25%","$4.99","20% ($3.99)","65% (88%)"
"638","Call of Duty: United Offensive","166,857 ±12,643","174,683 ±13,139","7,826","4.69%","$19.99","50% ($9.99)","86% (87%)"
"1219","Timore Inferno","18,790 ±4,244","26,616 ±5,130","7,826","41.65%","$4.99","0% ($4.99)","85% (N/A)"
"651","Valdis Story: Abyssal City","158,589 ±12,326","166,414 ±12,824","7,825","4.93%","$14.99","75% ($3.74)","86% (83%)"
"1021","ReignMaker","51,359 ±7,016","59,175 ±7,648","7,816","15.22%","$14.99","0% ($14.99)","66% (N/A)"
"744","STAR WARS: X-Wing Special Edition","116,248 ±10,554","124,035 ±11,072","7,787","6.7%","$9.99","50% ($4.99)","62% (N/A)"
"1303","The Secret Order 2: Masked Intent","9,019 ±2,940","16,796 ±4,075","7,777","86.23%","$9.99","50% ($4.99)","80% (N/A)"
"709","Trapped Dead","132,283 ±11,258","140,057 ±11,765","7,774","5.88%","$4.99","66% ($1.69)","36% (50%)"
"249","The Incredible Adventures of Van Helsing","757,120 ±26,908","764,887 ±27,469","7,767","1.03%","$14.99","66% ($5.09)","85% (72%)"
"1085","Randal's Monday","41,338 ±6,294","49,097 ±6,967","7,759","18.77%","$19.99","70% ($5.99)","76% (57%)"
"1088","Angvik","41,087 ±6,275","48,839 ±6,948","7,752","18.87%","$2.99","50% ($1.49)","82% (N/A)"
"724","Neighbours from Hell","123,263 ±10,868","131,012 ±11,379","7,749","6.29%","$9.99","75% ($2.49)","95% (69%)"
"898","Insaniquarium! Deluxe","73,908 ±8,416","81,656 ±8,984","7,748","10.48%","$4.99","75% ($1.24)","94% (N/A)"
"940","Postal 3","65,389 ±7,916","73,129 ±8,502","7,740","11.84%","$14.99","66% ($5.09)","N/A (24%)"
"482","Toki Tori 2+","286,863 ±16,575","294,585 ±17,059","7,722","2.69%","$14.99","90% ($1.49)","82% (N/A)"
"643","Urban Trial Freestyle","163,349 ±12,510","171,066 ±13,002","7,717","4.72%","$6.99","90% ($0.69)","80% (58%)"
"573","Dreamfall Chapters","204,186 ±13,986","211,894 ±14,470","7,708","3.77%","$29.99","66% ($10.19)","83% (70%)"
"864","Alter World","80,672 ±8,792","88,375 ±9,347","7,703","9.55%","$1.99","50% ($0.99)","72% (N/A)"
"626","Unknown Battle","171,116 ±12,804","178,818 ±13,293","7,702","4.5%","$0.99","0% ($1.99)","17% (N/A)"
"1253","Return NULL - Episode 1","14,781 ±3,764","22,481 ±4,714","7,700","52.09%","$1.99","75% ($0.49)","66% (N/A)"
"411","Worms Blast","384,823 ±19,195","392,521 ±19,689","7,698","2%","$7.99","85% ($1.19)","45% (73%)"
"954","Shadowgate: MacVenture Series","63,135 ±7,778","70,803 ±8,366","7,668","12.15%","$2.99","75% ($0.74)","80% (N/A)"
"1006","David.","54,616 ±7,235","62,276 ±7,846","7,660","14.03%","$1.99","51% ($0.97)","81% (N/A)"
"1262","Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch","12,777 ±3,499","20,414 ±4,492","7,637","59.77%","$6.99","60% ($2.79)","100% (N/A)"
"833","Retention","86,434 ±9,101","94,060 ±9,642","7,626","8.82%","$0.99","51% ($0.49)","32% (N/A)"
"536","On the Rain-Slick Precipice of Darkness, Episode One","234,251 ±14,979","241,869 ±15,459","7,618","3.25%","$7.99","0% ($7.99)","90% (N/A)"
"836","THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION","86,184 ±9,088","93,802 ±9,629","7,618","8.84%","$14.99","80% ($2.99)","79% (N/A)"
"1107","System Shock: Enhanced Edition","36,828 ±5,941","44,446 ±6,629","7,618","20.69%","$9.99","75% ($2.49)","92% (85%)"
"1055","Dangerous Waters","44,845 ±6,556","52,456 ±7,201","7,611","16.97%","$14.99","85% ($2.24)","73% (82%)"
"1111","Hero of the Kingdom II","36,578 ±5,921","44,187 ±6,609","7,609","20.8%","$7.99","50% ($3.99)","94% (N/A)"
"762","Runespell: Overture","110,235 ±10,277","117,834 ±10,792","7,599","6.89%","$9.99","0% ($9.99)","77% (69%)"
"650","Edna & Harvey: The Breakout","159,340 ±12,355","166,931 ±12,844","7,591","4.76%","$14.99","90% ($1.49)","80% (N/A)"
"837","The Chaos Engine","85,182 ±9,035","92,768 ±9,576","7,586","8.91%","$9.99","0% ($9.99)","63% (40%)"
"887","Combat Wings: Battle of Britain","75,661 ±8,515","83,207 ±9,069","7,546","9.97%","$4.99","80% ($0.99)","75% (N/A)"
"743","Infinifactory","116,749 ±10,577","124,294 ±11,084","7,545","6.46%","$24.99","50% ($12.49)","97% (N/A)"
"680","Indiana Jones and the Fate of Atlantis","141,302 ±11,635","148,843 ±12,129","7,541","5.34%","$5.99","75% ($1.49)","96% (N/A)"
"89","Saints Row 2","2,213,737 ±45,904","2,221,275 ±46,703","7,538","0.34%","$9.99","75% ($2.49)","77% (72%)"
"1125","Hamlet or the last game without MMORPG features, shaders and product placement","33,822 ±5,693","41,345 ±6,393","7,523","22.24%","$4.99","80% ($0.99)","64% (N/A)"
"569","Frontlines: Fuel of War","205,940 ±14,045","213,445 ±14,523","7,505","3.64%","$19.99","75% ($4.99)","63% (73%)"
"1087","FRACT OSC","41,338 ±6,294","48,839 ±6,948","7,501","18.15%","$14.99","75% ($3.74)","87% (75%)"
"1241","Alex Hunter - Lord of the Mind","16,284 ±3,950","23,773 ±4,848","7,489","45.99%","$6.99","50% ($3.49)","81% (N/A)"
"1034","Sacraboar","48,854 ±6,842","56,332 ±7,462","7,478","15.31%","$8.99","90% ($0.89)","29% (N/A)"
"863","The Raven - Legacy of a Master Thief","80,923 ±8,806","88,375 ±9,347","7,452","9.21%","$24.99","90% ($2.49)","75% (74%)"
"343","Capsized","499,819 ±21,871","507,255 ±22,378","7,436","1.49%","$9.99","80% ($1.99)","78% (80%)"
"670","STAR WARS: X-Wing Alliance","146,062 ±11,830","153,494 ±12,317","7,432","5.09%","$9.99","50% ($4.99)","76% (N/A)"
"910","Safecracker: The Ultimate Puzzle Adventure","71,903 ±8,301","79,331 ±8,855","7,428","10.33%","$4.99","75% ($1.24)","67% (69%)"
"1323","PAC-MAN and the Ghostly Adventures","6,012 ±2,400","13,437 ±3,645","7,425","123.5%","$19.99","75% ($4.99)","80% (N/A)"
"1045","Love","46,850 ±6,701","54,265 ±7,324","7,415","15.83%","$2.99","67% ($0.98)","91% (N/A)"
"630","Robot Roller-Derby Disco Dodgeball","169,612 ±12,747","177,009 ±13,226","7,397","4.36%","$9.99","60% ($3.19)","93% (N/A)"
"961","YOU DON'T KNOW JACK MOVIES","62,634 ±7,747","70,028 ±8,320","7,394","11.81%","$2.99","50% ($1.49)","71% (N/A)"
"1099","Dracula: The Resurrection","37,830 ±6,021","45,221 ±6,686","7,391","19.54%","$4.99","60% ($1.99)","38% (67%)"
"609","Call of Cthulhu: Dark Corners of the Earth","177,379 ±13,036","184,761 ±13,512","7,382","4.16%","$4.99","50% ($2.49)","71% (76%)"
"832","Megabyte Punch","86,936 ±9,127","94,318 ±9,656","7,382","8.49%","$14.99","85% ($2.24)","89% (69%)"
"1265","Lost Chronicles of Zerzura","12,777 ±3,499","20,155 ±4,464","7,378","57.74%","$9.99","50% ($4.99)","92% (N/A)"
"1054","Ether One","45,096 ±6,574","52,456 ±7,201","7,360","16.32%","$19.99","75% ($4.99)","77% (82%)"
"812","Tank Universal","94,201 ±9,501","101,554 ±10,019","7,353","7.81%","$4.99","80% ($0.99)","57% (N/A)"
"523","A New Beginning - Final Cut","249,784 ±15,467","257,116 ±15,938","7,332","2.94%","$9.99","90% ($0.99)","75% (72%)"
"1065","Haegemonia: The Solon Heritage","44,094 ±6,501","51,423 ±7,130","7,329","16.62%","$4.99","78% ($1.97)","69% (N/A)"
"443","Viscera Cleanup Detail","339,977 ±18,043","347,300 ±18,521","7,323","2.15%","$12.99","30% ($9.09)","93% (N/A)"
"1287","Eventide: Slavic Fable","11,023 ±3,250","18,346 ±4,259","7,323","66.43%","$9.99","40% ($5.99)","98% (N/A)"
"1116","Industry Giant 2","35,576 ±5,839","42,895 ±6,512","7,319","20.57%","$9.99","80% ($1.99)","78% (N/A)"
"276","Darksiders II Deathinitive Edition","676,948 ±25,446","684,264 ±25,984","7,316","1.08%","$29.99","80% ($5.99)","72% (N/A)"
"977","Jagged Alliance 2: Gold Pack","60,128 ±7,591","67,444 ±8,165","7,316","12.17%","$19.99","85% ($2.99)","N/A (N/A)"
"978","Call to Arms","60,128 ±7,591","67,444 ±8,165","7,316","12.17%","$24.99","75% ($6.24)","71% (N/A)"
"979","Jagged Alliance 2 Gold: Unfinished Business","60,128 ±7,591","67,444 ±8,165","7,316","12.17%","$19.99","85% ($2.99)","N/A (N/A)"
"928","Original War","68,145 ±8,081","75,455 ±8,636","7,310","10.73%","$4.99","80% ($0.99)","92% (61%)"
"745","Angry Video Game Nerd Adventures","116,749 ±10,577","124,035 ±11,072","7,286","6.24%","$9.99","50% ($4.99)","89% (77%)"
"1026","Turba","50,858 ±6,981","58,141 ±7,581","7,283","14.32%","$4.99","75% ($1.24)","33% (76%)"
"888","The Deed","75,411 ±8,501","82,690 ±9,041","7,279","9.65%","$0.99","51% ($0.49)","92% (N/A)"
"1082","Pajama Sam in No Need to Hide When It's Dark Outside","42,340 ±6,370","49,614 ±7,003","7,274","17.18%","$6.99","60% ($2.79)","97% (N/A)"
